,ppg,fgp,fgp3,orpg,drpg,ftp,apg,bpg,spg,fpg,topg
1347,63.9,0.4065671641791045,0.3459214501510574,12.3,25.366666666666667,0.659919028340081,11.633333333333333,3.6666666666666665,4.533333333333333,17.2,14.866666666666667
1254,70.96774193548387,0.4350758853288364,0.34765625,13.03225806451613,25.258064516129032,0.6869565217391305,10.838709677419354,3.225806451612903,5.741935483870968,20.032258064516128,14.483870967741936
1382,76.84375,0.44259656652360513,0.3483535528596187,11.53125,24.5,0.7686472819216182,13.21875,4.3125,7.1875,20.96875,12.53125
1417,90.36363636363636,0.5191231343283582,0.4052044609665427,9.757575757575758,29.454545454545453,0.7447916666666666,21.484848484848484,5.393939393939394,6.121212121212121,16.454545454545453,11.545454545454545
1393,75.75,0.45633187772925765,0.383989145183175,10.59375,24.125,0.7339593114241002,15.5625,4.75,8.0,16.0625,12.125
1113,78.57575757575758,0.4338055691255496,0.36607142857142855,9.212121212121213,23.424242424242426,0.7488514548238897,13.030303030303031,3.212121212121212,5.878787878787879,16.90909090909091,10.424242424242424
1411,74.38235294117646,0.43127235564639754,0.2964071856287425,11.617647058823529,23.647058823529413,0.7340182648401826,11.823529411764707,3.1470588235294117,7.205882352941177,17.352941176470587,11.588235294117647
1300,73.33333333333333,0.45417633410672853,0.33282674772036475,11.033333333333333,26.733333333333334,0.6928213689482471,13.633333333333333,3.2666666666666666,5.866666666666666,17.166666666666668,12.233333333333333
1104,68.66666666666667,0.4237837837837838,0.3177842565597668,12.303030303030303,26.87878787878788,0.6495263870094723,11.424242424242424,4.212121212121212,6.0,19.727272727272727,13.878787878787879
1439,79.25,0.4897959183673469,0.40256045519203415,7.3125,25.21875,0.7342657342657343,15.09375,2.78125,4.0,16.40625,12.125
1138,77.2,0.4448710916072408,0.3304221251819505,12.366666666666667,27.866666666666667,0.6867647058823529,13.9,3.7666666666666666,5.733333333333333,23.2,14.566666666666666
1112,76.26470588235294,0.47570742124933263,0.3975694444444444,10.294117647058824,26.470588235294116,0.7578125,13.794117647058824,3.235294117647059,5.5,16.970588235294116,11.441176470588236
1181,80.65714285714286,0.4768472906403941,0.37597911227154046,10.457142857142857,25.857142857142858,0.7582278481012659,13.085714285714285,4.485714285714286,5.914285714285715,18.057142857142857,11.285714285714286
1233,80.47058823529412,0.45480631276901007,0.39712918660287083,9.558823529411764,26.41176470588235,0.7699386503067485,15.617647058823529,2.9705882352941178,6.911764705882353,19.176470588235293,12.088235294117647
1196,78.28125,0.44955097728473326,0.362043795620438,11.5625,25.78125,0.7264397905759162,12.625,4.84375,7.5625,18.59375,11.8125
1211,84.57575757575758,0.517829457364341,0.38193343898573695,9.363636363636363,30.939393939393938,0.7378378378378379,16.03030303030303,4.454545454545454,7.151515151515151,16.454545454545453,11.303030303030303
1422,72.80645161290323,0.4516310461192351,0.37590711175616837,11.483870967741936,23.838709677419356,0.7140255009107468,13.64516129032258,3.870967741935484,6.387096774193548,18.06451612903226,13.548387096774194
1222,73.64516129032258,0.4465545306565383,0.3918918918918919,11.419354838709678,24.096774193548388,0.713472485768501,12.64516129032258,3.4516129032258065,5.354838709677419,18.774193548387096,9.838709677419354
1361,68.09375,0.41186161449752884,0.31629834254143646,10.84375,25.46875,0.7009345794392523,10.6875,4.875,6.84375,17.46875,11.6875
1242,82.71875,0.48687596500257335,0.40493468795355586,12.03125,26.8125,0.6657342657342658,16.28125,4.6875,6.9375,18.125,13.09375
1335,68.85714285714286,0.4431960049937578,0.3391304347826087,9.535714285714286,25.214285714285715,0.657074340527578,14.321428571428571,3.5714285714285716,6.464285714285714,17.928571428571427,12.821428571428571
1246,85.94117647058823,0.4767657992565056,0.35346097201767307,12.588235294117647,27.58823529411765,0.7007786429365962,15.529411764705882,5.294117647058823,6.0588235294117645,19.294117647058822,12.029411764705882
