"","Season","WTeamID","wins","losses","homewinperc","awaywinperc","neutralwinperc","points","allowedpoints","totalwinperc","oppwinperc","FGpercpg","PG3percpg","FTpercpg","ORpg","DRpg","ASTpg","Stlpg","Blkpg","PFpg"
"1",2003,1104,17,11,0.866666666666667,0.111111111111111,0.75,1940,1820,0.607142857142857,0.572492131930446,0.41967639856045,0.325441871815482,0.705167724313254,13.5714285714286,23.9285714285714,12.1071428571429,6.60714285714286,3.78571428571429,18.0357142857143
"2",2003,1112,25,3,0.933333333333333,0.916666666666667,0,2386,1967,0.892857142857143,0.551867934326122,0.463562606225901,0.35106036156228,0.701153780306926,15.1785714285714,27.6428571428571,17.6428571428571,8.46428571428571,4.21428571428571,17.75
"3",2003,1113,18,11,0.8,0.4,0.5,2203,2006,0.620689655172414,0.581878391374095,0.481679895281481,0.32837622147967,0.675667474074281,13.6896551724138,23.3103448275862,15.551724137931,5.20689655172414,4.24137931034483,19.4137931034483
"4",2003,1120,19,11,0.764705882352941,0.375,0.6,2103,1967,0.633333333333333,0.572247256614285,0.470055445400917,0.355662173093355,0.652662691218853,11.9333333333333,22.5666666666667,13.4,8.03333333333333,4.96666666666667,16.3666666666667
"5",2003,1122,20,7,1,0.461538461538462,1,1882,1828,0.740740740740741,0.461246609650392,0.456810215920446,0.353541611410125,0.682295498060347,10.6296296296296,24.2222222222222,13.4074074074074,7.03703703703704,4.66666666666667,18.6666666666667
"6",2003,1139,24,5,1,0.666666666666667,1,1989,1767,0.827586206896552,0.482860120231145,0.477729483385444,0.39072237834445,0.715224625065938,7.82758620689655,20.3793103448276,12.9655172413793,6.3448275862069,1.86206896551724,16.0689655172414
"7",2003,1140,23,8,0.928571428571429,0.545454545454545,0.666666666666667,2246,1974,0.741935483870968,0.568422248654765,0.471151546523916,0.380937094048799,0.753252918378501,10.8709677419355,24.4193548387097,13.4193548387097,6.93548387096774,2.51612903225806,21.4193548387097
"8",2003,1141,23,6,0.916666666666667,0.642857142857143,1,2301,2124,0.793103448275862,0.48683485676313,0.506349090259801,0.37748146802266,0.762740584237041,10.5862068965517,23.2758620689655,15.6206896551724,7.10344827586207,4,20.9655172413793
"9",2003,1143,21,8,0.928571428571429,0.636363636363636,0.25,2160,2023,0.724137931034483,0.522440533776405,0.468740911387539,0.375934426414836,0.688631736795821,11.2413793103448,24.3793103448276,16,6.55172413793103,2.79310344827586,17.1034482758621
"10",2003,1153,17,11,0.8,0.3,0.666666666666667,1885,1722,0.607142857142857,0.60105180721714,0.405767715536855,0.352482077253725,0.685617704555836,12.1428571428571,23.3928571428571,12.2857142857143,5.17857142857143,4.25,18.9642857142857
"11",2003,1160,20,11,0.933333333333333,0.25,0.75,2341,2172,0.645161290322581,0.549947044966601,0.445980406786275,0.330292325216424,0.674697829012925,14.4838709677419,27.9677419354839,13.3870967741935,6.12903225806452,6.64516129032258,17.7096774193548
"12",2003,1161,17,13,0.75,0.25,1,2220,2180,0.566666666666667,0.540819570000373,0.507893219789946,0.360465367965368,0.697517352550946,10.8,23.4666666666667,15.5,5.33333333333333,4.23333333333333,20.5666666666667
"13",2003,1163,21,9,0.875,0.454545454545455,0.666666666666667,2401,2142,0.7,0.551712939666453,0.474887046925754,0.386927337629989,0.669885942433041,14.7666666666667,27.9,15.6333333333333,5.93333333333333,7.73333333333333,18.4
"14",2003,1166,29,4,1,0.636363636363636,1,2615,2123,0.878787878787879,0.492722626132433,0.498308572749513,0.384913797540349,0.689706928637897,10.8787878787879,23.1818181818182,16.8181818181818,8.39393939393939,4.45454545454545,17.2727272727273
"15",2003,1173,24,5,0.944444444444444,0.636363636363636,NA,2111,1923,0.827586206896552,0.539174829662345,0.45240759591024,0.362898204075023,0.712953905723539,13.4827586206897,23.1724137931034,15.2068965517241,5.37931034482759,2.93103448275862,17.5862068965517
"16",2003,1181,24,6,1,0.333333333333333,1,2459,2112,0.8,0.548347814387442,0.459560276115569,0.365594761793144,0.69548070670595,13.7666666666667,23.1,13.8333333333333,8.5,5.13333333333333,21.2666666666667
"17",2003,1190,17,10,0.8,0.384615384615385,1,2152,2092,0.62962962962963,0.469849248712595,0.458725899715033,0.343673489251395,0.728469031298436,14,24.037037037037,14.037037037037,10.7037037037037,5.25925925925926,19.5185185185185
"18",2003,1196,24,7,0.9375,0.7,0.4,2353,2005,0.774193548387097,0.557363318313209,0.477675523343173,0.391892434246583,0.696720164947957,10.8064516129032,24.258064516129,16.4193548387097,7.7741935483871,4.09677419354839,16.9032258064516
"19",2003,1211,23,8,0.846153846153846,0.818181818181818,0.428571428571429,2389,2114,0.741935483870968,0.509178995720179,0.470750813897246,0.369948908069807,0.717918362072922,11.9354838709677,25.3225806451613,15.741935483871,6.80645161290323,3.51612903225806,18.6451612903226
"20",2003,1221,25,4,1,0.769230769230769,0.8,2011,1688,0.862068965517241,0.432585744726054,0.459454290136649,0.362331769271024,0.701101355026861,12.0689655172414,24.3103448275862,15.4137931034483,7.96551724137931,4.48275862068965,18.3793103448276
"21",2003,1228,24,6,1,0.333333333333333,1,2263,1842,0.8,0.534030698707423,0.484964417287028,0.372306918114852,0.719997642002386,9.73333333333333,25.4,18.2666666666667,7,3.1,19.1333333333333
